French,Type,Abenaki,Meta,Source,AlternativeSource,Infinitive
Je mélange quelquechose (I),VTI;1;s;Présent,N'kotlenem,Verbe,"Day, 1994, p.217",,
J’ai froid,VAI;1;s;Présent,N'kwaskwaji,Verbe,"Laurent, 1884, p.106",,
Je vis longuement,VAI;1;s;Présent,N'kwen8wzi,,"Laurent, 1884, p.101",,
Je suis grand,VAI;1;s;Présent,N'kwenakwzi,,"Laurent, 1884, p.101",,
Je déplace mon campement.,VAI;1;s;Présent,N'kwezoda,Verbe,"Laurent, 1884, p.204",,
Je cherche quelqu'un ou quelquechose (A),VTA;1;s;présent,N'kwilawah8,Verbe,"Laurent, 1884, p.183",,
Je cherche quelqu’un ou quelquechose (A).,VTA;1;s;présent,N'kwilawah8,Verbe,"Laurent, 1884, p.183",,
Je cherche quelquechose (I),VTI;1;s;présent,N'kwilawato,Verbe,"Laurent, 1884, p.183",,
Je cours,VAI;1;s;présent,N'kz8malh8,Verbe,"Laurent, 1884, p.186",,Courir rapidement.
Je réchauffe quelquechose (I),VTI;1;s;présent,N'kzabezem,Verbe,,,
J'ai chaud,VAI;1;s;présent,N'kzabzi,Verbe,"Day, 1994, p.193",,
Je fais de la fièvre.,VAI;1;s;présent,N'kzabzowi,Verbe,"Laurent, 1884, p.24",,
Je lance rapidement,VAI,N'kzaka,Verbe,"Day, 1994, p.194",,
Je plante rapidement,VAI,N'kzakika,Verbe,"Day, 1994, p.194",,
J'aime quelquechose (I).,VTI;1;s;présent,N'kzaldam,Verbe,"Laurent, 1884, p.185",,
J’aime.,VAI;1;s;présent,N'kzalga,Verbe,"Laurent, 1884, p.185",,
J'aime quelqu'un ou quelquechose (A).,VTA;1;s;présent,N'kzalm8,Verbe,"Laurent, 1884, p.185",,
Je suis aimé.,VAI,N'kzalmegwzi,Verbe,"Laurent, 1884, p.177",,
Je travaille rapidement,VAI;1;s;présent,N'kzaloka,Verbe,,,
Je travaille vite,VAI,N'kzaloka,Verbe,"Day, 1994, p.194",,
Je vais quelque part rapidement,VAI;1;s;présent,N'kzalosa,Verbe,,,
"Je suis fière, je m'aime moi-même",VTA;1;s;présent;Refléchi,N'kzalzi,Verbe,,,
J'écris rapidement,VAI;1;s;présent,N'kzawikhiga,Verbe,,,
Je lave quelquechose (I),VTI;1;s;présent,N'kzebahado,Verbe,"Day, 1994, p.185",,
Je lave quelqu’un ou quelquechose (A),VTA;1;s;présent,N'kzebahal8,Verbe,"Day, 1994, p.185",,
Je vais vite,VAI;1;s;présent,N'kzihla,Verbe,"Laurent, 1884, p.114",,
Je marche rapidement,VAI;1;s;présent,N'kzosa,Verbe,"Day, 1994, p.196",,Marcher rapidement.
Je tresse quelquechose (A).,VTA;1;s;présent,N'l8bagn8,Verbe,"Nolett-Ille, 1994, p.49",,
Je tresse quelquechose (I).,VTI;1;s;présent,N'l8bagnem,Verbe,"Nolett-Ille, 1994, p.49",,
Je joue de la musique,VAI;1;s;présent,N'l8baktahiga,Verbe,"Day, 1994, p.276",,
Je fait la conversation.,VAI;1;s;présent,N'l8dokazi,Verbe,"Day, 1994, p.277",,
J’ai de la valeur.,VAI;1;s;présent,N'l8wadi,Verbe,"Laurent, 1884, p.110",,
Je rapporte à plus tard,VTI;1;s;présent,N'lato,Verbe,"Day, 1994, p.268",,
Je pétris ou je fais du pain dans une poêle,VAI;1;s;Présent,N'lejageniga,Verbe,"Day, 1994, p.269",,
Je me couche,VAI;1;s;présent,N'lesin,Verbe,"Day, 1994, p.269",,
Je dis quelquechose à quelqu’un (A),VTA;1;s;présent,N'lhi,Verbe,"Laurent, 1884, p.109",,
Je pense/présume quelquechose (A),VTA;1;s;présent,N'lidah8m8,Verbe,,,
Je saute,VAI;1;s;Présent,N'ligda,Verbe,"Masta, 1932, p.75",,Sauter (de façon indéterminée)
J’appelle ou nomme quelqu’un ainsi,VTA;1;s;Présent,N'liwihl8,Verbe,"Wz8khilain, 1830, p.33",,
Je commence,VAI;1;s;Présent,N'm8ja,Verbe,"Day, 1994, p.328",,
Je commence à faire quelquechose (A).,VTA;1;s;Présent,N'm8jah8,Verbe,"Laurent, 1884, p.186",,
J'emporte quelquechose (A),VTA;1;s;présent,N'm8jal8,Verbe,"Laurent, 1884, p.186",,
Je commence une action.,VAI;1;s;Présent,N'm8jasa,Verbe,"Day, 1994, p.330",,
Je commence à faire quelquechose (I).,VTI;1;s;Présent,N'm8jato,Verbe,"Laurent, 1884, p.186",,
Je pars,VAI;1;s;présent,N'm8ji,Verbe,"Laurent, 1884, p.110",,Partir
"Je travaille mal, rudement, à la va vite ou approximativement.",VAI;1;s;présent,N'm8m8gwaloka,,"Laurent, 1884, p.199",,
"Mange rapidement, prend une collation, mange en vitesse.",VAI;1;s;présent,N'm8m8gwipi,,"Day, 1994, p.333",,
Je fabrique un canot de fortune.,VAI;1;s;présent,N'm8m8gwtoli,,"Day, 1994, p.333",,
Je me sens très malade,VAI;1;s;présent,N'm8madamalsi,Verbe,"Day, 1994, p.332",,
Je ramasse quelquechose,VTI;1;s;présent,N'maanem,Verbe,"Day, 1994, p.280",,
Je meurs,VAI;1;s;présent,N'machina,Verbe,"Laurent, 1884, p.115",,
Je me sens  malade,VAI;1;s;Présent,N'madamalsi,Verbe,"Laurent, 1884, p.24",,
Je me plains,VAI;1;s;présent,N'madw8zi,Verbe,"Day, 1994, p.284",,
Je pellette de la neige.,VAI;1;s;présent,N'mag8lhiga,Verbe,"Day, 1994, p.285",,
Je fais don de quelquechose.,VAI;1;s;présent,N'maga,Verbe,"Laurent, 1884, p.186",,
Je défèque,VAI;1;s;présent,N'magwi,Verbe,,,
"Je trouve que quelquechose (I) est correct, satisfaisant",VTI;1;s;présent,N'mah8winam,Verbe,"Laurent, 1884, p.116",,
"Je trouve que quelquechose (I) est correct, satisfaisant pour quelqu'un (A)",VTI;1;s;présent,N'mah8winaw8,Verbe,"Day, 1994, p.299",,
"Je rend/fait quelquechose (I) correct, satisfaisant.",VTI;1;s;présent,N'mah8wito,Verbe,"Day, 1994, p.299",,
Je suis malchanceux(se),,N'majalmegwzi,Verbe,"Nolett-Ille, 1996, p.29",,
Je sacre,VAI;1;s;présent,N'majidon,Verbe,Charland,,
J’ai la nausée,VAI;1;s;présent,N'majilawa,Verbe,"Laurent, 1884, p.112",,
Je suis incommodé.,VAI;1;s;présent,N'majilawaamalsi,Verbe,"Laurent, 1884, p.112",,
Je déteste le goût de quelquechose (I),VTI,N'majitam,Verbe,"Day, 1994, p.289",,
Je crois que quelquechose est étrange(I),VTI;1;s;Présent,N'mamh8lhidah8dam,Verbe,"Day, 1994, p.295",,
Je cours lentement,VAI;1;s;présent,N'mann8malh8,Verbe,,,Courir lentement
Je marche lentement,VAI;1;s;présent,N'mannosa,Verbe,"Nolett-Ille, 1996, p.29",,Marcher lentement
J'achète quelquechose (A).,VTA;1;s;présent,N'manoh8,Verbe,"Nolett-Ille, 1996, p.1",,
J'achète,VAI;1;s;Présent,N'manohiga,Verbe,"Laurent, 1884, p.187",,
J'achète quelquechose (I).,VTI;1;s;présent,N'manohom,Verbe,"Laurent , 1884, p.66",,
Je trouve quelquechose (I),VTI;1;s;Présent,N'maskam,Verbe,"Nolett-Ille,1996, p.50",,
Je trouve quelquechose (A),VTA;1;s;Présent,N'maskaw8,Verbe,"Masta, 1932, p.74",,
Je ramasse de l’écorce de bouleau,VAI;1;s;Présent,N'maskwaka,Verbe,"Day, 1994, p.302",,
Je brûle quelquechose (A),VTA;1;s;Présent,N'matkazaz8,Verbe,"Day, 1994, p.304",,
Je me sens mieux,VAI;1;s;présent,N'mawiaamalsi,Verbe,"Laurent, 1884, p.113",,
Je choisis quelqu'un ou quelquechose (A),VTA;1;s;présent,N'megen8,Verbe,"Aubery, 1995 , p.115",,
Je choisis quelquechose (I),VTI;1;s;présent,N'megenem,Verbe,"Aubery, 1995, p.115",,
Je trouve quelqu'un ou quelquechose (A),VTA;1;s;présent,N'meskaw8,Verbe,"Day, 1994, p.314",,
J’obtiens quelquechose (I).,VTI;1;s;présent,N'mezenem,Verbe,"Laurent, 1884, p.204",,
Je mange,VAI;1;s;présent,N'michi,Verbe,"Laurent, 1884, p.186",,Manger
Je mange (quelquechose d'inanimé),VTI;1;s;Présent,N'miji,Verbe,"Nollett-Ille, 1996, p.29",,Manger quelquechose (I)
Je me souviens de quelquechose (I),VTI;1;s;Présent,N'mikwaldam,Verbe,"Nolett-Ille,1996, p.47",,
Je me souviens de quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'mikwalm8,Verbe,"Nolett-Ille,1996, p.47",,
Je donne quelquechose (A),VTA;1;s;Présent,N'mil8,Verbe,"Nolett-Ille, 1996, p.14",,
Je donne quelquechose (I),VTI;1;s;Présent,N'mildo,Verbe,"Nolett-Ille, 1996, p.14",,
Je suis rouge à l'intérieur.,VAI;1;s;Présent,N'mkwisagezi,Verbe,"Day, 1994, p.323",,
Je suis fort(e),VAI;1;s;Présent,N'mlikigi,Verbe,"Day, 1994, p.311",,
Je pleure,VAI;1;s;présent,N'mlisj8,Verbe,"Wz8khilain, 1830, p.19",,
J'émerge,VAI;1;s;présent,N'moski,Verbe,"Day, 1994, p.325",,
Je suis fâché,VAI;1;s;présent,N'moskwaldam,Verbe,"Masta, 1932, p.36",,
Je chasse le rat musqué,VAI;1;s;présent,N'moskwasnadiali,Verbe,Philippe Charland,,
Je chasse le rat musqué,VAI;1;s;présent,N'moskwasoka,Verbe,Philippe Charland,,
Je mange quelquechose (A).,VTA;1;s;présent,N'mow8,Verbe,"Nolett-Ille, 1996, p.29",,Manger quelquechose (A)
Je soupir.,VAI;1;s;présent,N'msinasa,Verbe,"Day, 1994, p.388",,
Je vais chasser,VAI;1;s;Présent,N'n8dadiali,Verbe,"Day, 1994, p.383",,
Je vais sur le rivage,VAI;1;s;présent,N'n8dagahla,Verbe,"Day, 1994, p.383",,
Je vais à la rive.,VAI;1;s;présent,N'n8dagahla8,Verbe,"Laurent, 1884, p.113",,
Je vais me coucher,VAI;1;s;présent,N'n8dkawi,Verbe,"Day, 1994, p.383",,
Je grelotte (à cause du froid),VAI;1;s;Présent,N'n8n8gipozi,Verbe,"Day, 1994, p.386",,
Je voyage longtemps.,VAI;1;s;présent,N'n8wkanni,Verbe,"Day, 1994, p.388",,
Je sème longtemps.,VAI;1;s;présent,N'n8wkika,Verbe,"Day, 1994, p.388",,
Je touche quelqu’un ou quelquechose (A).,VTA;1;s;Présent,N'n8zn8,Verbe,"Day, 1994, p.388",,
Je touche quelquechose (I).,VTA;1;s;Présent,N'n8znem,Verbe,"Day, 1994, p.388",,
Je pagaie dans le sens du courant.,VAI;1;s;présent,N'naaibia,Verbe,Construction personnelle,,
Je marche dans le sens du courant.,VAI;1;s;présent,N'naaosa,Verbe,"Day, 1994, p.343",,
Je chasse,VAI;1;s;Présent,N'nadiali,Verbe,"Laurent, 1884, p.188",,
Je chasse pour quelqu'un (A),VTA;1;s;présent,N'nadialwaw8,Verbe,"Day, 1994, p.344",,
Je chasse pour moi-même,VTA;1;s;présent;Réflexif,N'nadialwawzi,Verbe,"Day, 1994, p.345",,
Je questionne quelqu’un.,VTA;1;s;présent,N'nadodmok8,Verbe,"Day, 1994, p.345",,
Je descend le courant,VAI;1;s;Présent,N'nahil8,Verbe,"Laurent, 1884, p.117",,
J’éternue,VAI;1;s;Présent,N'nakhwh8mi,Verbe,"Day, 1994, p.347",,
J'observe quelquechose (A) ou quelqu'un,VTA;1;s;présent,N'namih8,Verbe,"Laurent, 1884, p.105",,Observer quelquechose (A)
Je me vois moi-même,VTA;1;s;présent;Réflexif,N'namihozi,Verbe,"Laurent, 1884, p.196",,
Je suis vu,VAI;1;s;présent,N'namiigwzi,Verbe,"Laurent, 1884, p.196",,
J’observe quelqueshose (I),VTI;1;s;présent,N'namito,Verbe,"Laurent, 1884, p.195",,Observer quelquechose (I)
Je suis aveugle,VAI;1;s;présent,N'nan8degwzi,Verbe,"Day, 1994, p.351",,
Je berce,VAI;1;s;présent,N'nanamen8,Verbe,"Day, 1994, p.349",,
Je chante une berceuse.,VAI;1;s;présent,N'nanamniganilinto,Verbe,"Day, 1994, p.349",,
Je prend soin de quelquechose (I).,VTI;1;s;présent,N'nanawaldam,Verbe,"Laurent, 1884, p.188",,
Je prend soin de quelqu'un ou quelquechose (A).,VTA;1;s;présent,N'nanawalm8,Verbe,"Laurent, 1884, p.188",,
Je prend soin de moi,VTA,N'nanawalmezi,Verbe,"Laurent, 1884, p.117",,
Je marche toute la nuit,VAI;1;s;Présent,N'nanib8sa,Verbe,"Day, 1994, p.351",,
Je respire.,VAI;1;s;présent,N'nasa,Verbe,"Laurent, 1884, p.23",,
Je mets un vêtement (A),VTA;1;s;Présent,N'nasl8,Verbe,"Laurent, 1884, p.187",,
Je mets un vêtement (I),VTI;1;s;Présent,N'nasto,Verbe,"Laurent, 1884, p.187",,
Je viens (arrive),VAI,N'nawa,Verbe,"Day, 1994, p.355",,
Je parle de façon bruyante,VAI,N'neskt8gwzi,Verbe,"Day, 1994, p. 362",,
Je chasse durant la nuit,VAI;1;s;Présent,N'nib8nadiali,Verbe,"Day, 1994, p.364",,
Je tue quelqu'un ou quelquechose (A),VTA;1;s;Présent,N'nihl8,Verbe,"Laurent, 1884, p.71",,
,VAI;1;s;Présent,N'nik8nig8bi,Verbe,,,
"Je découvre, je vois le future",VAI;1;s;Présent,N'nik8nwawizi,Verbe,"Day, 1994, p.367",,
Je vais chercher quelquechose (I),VTI;1;s;présent,N'nimskam,Verbe,"Laurent, 1884, p.187",,
Je vais chercher quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'nimskaw8,Verbe,"Laurent, 1884, p.187",,
Je suis un bon orateur.,VAI;1;s;présent,N'nit8wa,Verbe,"Day, 1994, p.391",,
Je suis à fabriquer des paniers.,VAI;1;s;présent,N'nit8wabaznodaka,Verbe,"Day, 1994, p.391",,
Je suis une personne capable (bonne à faire des choses).,VAI;1;s;présent,N'nit8wti,Verbe,"Day, 1994, p.391",,
je suis bon pour fabriquer des canots.,VAI;1;s;Présent,N'nit8wtoli,Verbe,"Laurent, 1884, p.113",,
Je suis entendu par quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'nod8zo,,"Day, 1994, p.373",,
J’entends,VAI;1;s;Présent,N'noda,,"Day, 1994, p.371",,
J’entends quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'nodal8,,"Day, 1994, p.371",,
J’entend quelquechose (I),VTI;1;s;présent,N'nodam,,"Laurent, 1884, p.105",,
J’entend quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'nodaw8,,"Day, 1994, p.372",,
Je touche quelquechose (I),VTIi,N'nojokawa,,"Day, 1994, p.375",,
"Je suis doux, douce",VAI;1;s;présent,N'nokigi,,"Laurent, 1884, p.66",,
"J'allaite, je prend soin d'un bébé.",VAI;1;s;Présent,N'noni,,,,
Je suis loin,VAI;1;s;présent,N'nopabi,Verbe,"Day, 1994, p.379",,
Je crois que quelqu'un ou quelquechose (A) est loin,VTA;1;s;présent,N'nopadah8m8,Verbe,"Day, 1994, p.379",,
Je m’éloigne,VAI;1;s;Présent,N'nopaosa,Verbe,"Laurent, 1884, p.379",,S’éloigner
Je suis quelquechose (I).,VTI;1;s;Présent,N'nosokam,Verbe,"Day, 1994, p.386",,
Je suis quelqu’un ou quelquechose (A).,VTA;1;s;présent,N'nosokaw8,Verbe,"Day, 1994, p.380",,
Je suis prudent,VAI;1;s;présent,N'nsato,Verbe,"Laurent, 1884, p.115",,
Je suis bon pagayeur,VAI;1;s;présent,N'nt8wibia,Verbe,"Laurent, 1884, p.114",,
Je parle en conversant,VAI,N'p8bab8m8dokazi,,"Day, 1994, p.63",,
Je prie,VAI;1;s;présent,N'p8batama,Verbe,"Day, 1994, p.135",,
Je prie pour quelqu'un (A),VTA;1;s;présent,N'p8batamawawi,Verbe,"Day, 1994, p.135",,
J’ai du plaisir,VAI,N'p8w8wzi,,"Nolett-Ille, 1996, p.38",,
J’apparais de nouveau,VAI;1;s;Présent,N'paakwin8gwzi,Verbe,"Laurent, 1884, p.116",,
J’examine quelquechose,VTI;1;s;présent,N'pabachito,Verbe,"Masta, 1932, p.26",,
Je joue à la balle.,VAI;1;s;présent,N'pabaskwhama,Verbe,"Day, 1994, p.59",,
J'apporte quelquechose (I),VTI;1;s;présent,N'pado,,"Laurent, 1884, p. 190",,
Je joue,VAI;1;s;Présent,N'papi,,"Nolett-Ille, 1996, p.26",,
J’approche,VAI;1;s;Présent,N'pasadosa,Verbe,Charland,,Approcher
Je dîne,VAI;1;s;Présent,N'paskwaipi,Verbe,"Day, 1994, p.80",,
Je dîne,VAI;1;s;Présent,N'paskwaïpi,Verbe,"Day, 1994, p.80",,
J'approche quelquechose (I),VTI;1;s;Présent,N'pasodkam,Verbe,"Day, 1994, p.80",,
J'approche quelqu'un ou quelquechose (A),VTA;1;s;Présent,N'pasodkaw8,Verbe,"Day, 1994, p.80",,
Je m’approche,VAI;1;s;Présent,N'pasodosa,Verbe,"Laurent, 1884, p.96",,
Je vois (je suis capable de voir).,VAI;1;s;présent,N'paz8bi,Verbe,"Laurent, 1884, p.188",,
J'apporte quelqu'un ou quelquechose (A),VTA;1;s;présent,N'pazw8,Verbe,"Laurent, 1884, p. 190",,
Je viens (arrive),VAI;1;s;présent,N'paï8,,"Wz8khilain, 1830, p.88",,Arriver
Je reviens,VAI;1;s;Présent,N'pedgi,Verbe,"Day, 1994, p.85",,
Je danse,VAI;1;s;Présent,N'pemg8,Verbe,"Laurent, 1884, p.49",,
Je tourne,VAI;1;s;présent,N'peskasa,Verbe,"Day, 1994, p.104",,
J’entre,VAI;1;s;présent,N'pidiga,Verbe,"Nolett-Ille, 1996, p.16",,Entrer
Je travaille différemment,VAI,N'pilwaloka,Verbe,"Masta, 1932, p.24",,
J'ai l'air pâle,VAI;1;s;présent,N'pilwin8gwzi,Verbe,"Day, 1994, p.112",,
J’attrape quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'pith8,Verbe,"Laurent, 1884, p.117",,
Je traverse,VAI,N'pkag8,Verbe,"Laurent, 1884, p.95",,
Je fais une pause,VAI,N'pla,Verbe,"Day, 1994, p.90",,
Je parle français,VAI,N'plachm8n8dwa,Verbe,,,
Je voyage,VAI;1;s;Présent,N'pmakanni,Verbe,"Nolett-Ille, 1996, p.52",,
Je navigue (en bateau à voile),VAI;1;s;présent,N'pmaksi,Verbe,"Day, 1994, p.92",,
Je marche en suivant un plan,VAI;1;s;présent,N'pmosa,Verbe,"Nolett-Ille, 1996, p.29",,Marcher (En suivant un plan)
Je descend (escaliers).,VAI;1;s;présent,N'pn8dawa,Verbe,"Laurent, 1884, p.95",,
Je glisse en bas (en toboggan par exemple).,VAI;1;s;Présent,N'pnipozi,Verbe,"Day, 1994, p.100",,
Je souffle,VAI;1;s;Présent,N'podawa,Verbe,"Day, 1994, p.438",,
Je discute,VAI;1;s;Présent,N'podawazi,Verbe,"Day, 1994, p.129",,
Je mets/place quelquechose (A),VTA;1;s;Présent,N'pon8,Verbe,"Laurent, 1884, p.189",,
Enlève quelquechose (I),VTI;1;s;présent,N'ponagim,Verbe,"Laurent, 1884, p.115",,
Je relâche (comme la corde d'un arc),VAI;1;s;présent,N'ponaka,Verbe,"Day, 1994, p.131",,
Remplace quelqu'un ou quelquechose (A)),VTA;1;s;présent,N'ponamaw8,Verbe,"Day, 1994, p.131",,
Remplace quelquechose (I),VTI;1;s;présent,N'ponamawam,Verbe,"Day, 1994, p.131",,
Je mets/place,VAI;1;s;présent,N'ponasi,Verbe,"Laurent, 1884, p.189",,
Je mets/place quelquechose (I),VTI;1;s;présent,N'ponem,Verbe,"Laurent, 1884, p.189",,
J’allume ou j’entretiens un feu,VAI,N'ponsa,Verbe,"Wz8khilain, 1830, p.59",,
Je coupe avec un couteau quelquechose (A),VTA;1;s;présent,N'poskwez8,Verbe,"Day, 1994, p.133",,
Je coupe avec un couteau quelquechose (I),VTI;1;s;présent,N'poskwezem,Verbe,"Day, 1994, p.133",,
Je coupe quelquechose  (A) avec une hache,VTA,N'poskwtaha,Verbe,"Laurent, 1884, p.190",,
Je coupe quelquechose  (I) avec une hache,VTI,N'poskwtaha,Verbe,"Laurent, 1884, p.190",??? J’assume une terminaison en « a ».,
J’embarque,VAI;1;s;présent,N'pozi,Verbe,"Laurent, 1884, p.113",,
Je verse un liquide (I),VTI;1;s;présent,N'psanbahado,Verbe,"Day, 1994, p.101",,
Je verse un liquide (A),VTA;1;s;présent,N'psanbahal8,Verbe,"Day, 1994, p.101",,
"Je suis tranquille, Je suis assis tranquillement",VAI,N's8gnawabi,Verbe,"Laurent, 1884, p.94",,
Je m'approche en marchant,VAI;1;s;présent,N's8khosa,Verbe,"Day, 1994, p.536",,
"Je squat, je me couche au sol",VAI;1;s;présent,N'sagadabi,Verbe,"Day, 1994, p.443",,
Je sors,VAI;1;s;présent,N'saosa,Verbe,"Laurent, 1884, p.95",,Sortir
Je m'habille,VAI;1;s;Présent,N'sawa,Verbe,Charland,,
Je suis fatigué(e),VAI;1;s;Présent,N'sawsani,Verbe,"Masta, 1932, p.28",,
Je suis fatigué,VAI,N'sawsanni,Verbe,"Nolett-Ille, 1996, p.18",,
Je vomis,VAI;1;s;présent,N'segagwi,Verbe,"Rasles & Pickering, 1831, p.544",,
J’urine,VAI;1;s;présent,N'segwdi,Verbe,"Rasles & Pickering, 1831, p.507",,
Je craque/brise avec les dents,VAI;1;s;Présent,N'segweskada,Verbe,"Day, 1994, p.521",,
Je craque/brise quelquechose (I) avec les dents,VTIi;1;s;Présent,N'segweskadam,Verbe,"Day, 1994, p.521",,
Je brise/divise quelquechose (I),VTIi;1;s;Présent,N'segweskiado,Verbe,"Day, 1994, p.521",,
J'explique (en divisant les concepts),VAI;1;s;Présent,N'segweskiwita,Verbe,"Day, 1994, p.521",,
Je peinture quelqu'un ou quelquechose (A).,VTA,N'sezoh8,Verbe,"Laurent, 1884, p.193",,
Je peinture.,VAI,N'sezohiga,Verbe,"Laurent, 1884, p.193",,
Je peinture quelquechose (I).,VTI,N'sezohom,Verbe,"Laurent, 1884, p.193",,
Je  souhaite quelquechose pour quelqu’un,VTA,N'sidaldam,Verbe,"Nolett-Ille, 1996, p.46",,
Je souhaite quelquechose(I) d'indéfini à quelqu'un,VTA;1;s;présent,N'sidaldam,Verbe,"Day, 1994, p.451",,
Je vide quelquechose (A),VTA;1;s;présent,N'sigwan8,Verbe,"Day, 1994, p.524",,
Je vide quelquechose (I),VTI;1;s;présent,N'sigwanem,Verbe,"Day, 1994, p.524",,
Je voyage ici et là,VAI;1;s;Présent,N'sisakanni,Verbe,Charland,,
Je m’ennuie de quelquechose (I),VTI;1;s;présent,N'siwaldam,Verbe,"Day, 1994, p.526",,
J'ennuie de quelqu'un.,VTA;1;s;présent,N'siwalm8,Verbe,"Day, 1994, p.526",,
Je suis debout.,VAI;1;s;présent,N'skai,Verbe,"Day, 1994, p.454",,
Je verse quelquechose (I),VTIi;1;s;Présent,N'sogna,Verbe,"Day, 1994, p.528",,
Je baptise quelqu'un ou quelquechose (A),VTAi;1;s;Présent,N'sognab8l8,Verbe,"Aubéry, 1715, p.58",,
Je suis baptisé,VAI;1;s;Présent,N'sognab8zi,Verbe,"Aubéry, 1715, p.58",,
Je suis épuisé,VAI;1;s;Présent,N'sokwamalsi,Verbe,"Day, 1994, p.529",,
Je parle espagnol,VAI,N'sp8nioli8dwa,Verbe,,,
Je pars tôt,VAI;1;s;présent,N'sp8zim8ji,Verbe,Philippe Charland,,Partir tôt
Je déjeune,VAI;1;s;Présent,N'sp8zipi,Verbe,"Day, 1994, p.459",,
Je frappe quelquechose (I) à répétition,VTI,N't8tagadam,Verbe,"Laurent, 1884, p.198",,
Je frappe quelqu’un ou quelquechose (A) à répétition,VTA,N't8tagam8,Verbe,"Laurent, 1884, p.197",,
J’ouvre quelquechose (A),VTA;1;s;Présent,N't8wdan8,Verbe,"Laurent, 1884, p.96",,
Je frappe quelquechose (I),VTI,N'tagadam,Verbe,"Laurent, 1884, p.198",,
Je frappe quelqu’un ou quelquechose (A),VTA,N'tagam8,Verbe,"Laurent, 1884, p.197",,
Je prend soin de moi,VTA,N'tagamezi,Verbe,"Day, 1994, p.150",,
Je goûte quelquechose (I),VTI;1;s;Présent,N'talitam,Verbe,"Day, 1994, p.155",,
"J'appelle à l'aide, crie, fait du bruit",VAI;1;s;présent,N'talkwazi,Verbe,,,
J’écoute quelquechose (I),VTI,N'tbestam,Verbe,"Laurent, 1884, p.191",,
J’écoute quelqu’un (A),VTA,N'tbestaw8,Verbe,"Laurent, 1884, p.191",,
Je réfléchis,VAI,N'tbidah8zi,Verbe,"Masta, 1932, p.75",,
Je tond,VAI;1;s;Présent,N'temskez8wa,Verbe,"Laurent, 1884, p.43",,
Je nages,VAI;1;s;présent,N'tkasmi,Verbe,"Masta, 1932, p.35",,
Je passe (sans m'arrêter),VAI;1;s;présent,N'todosa,Verbe,"Day, 1994, p.126",,Passer (sans s'arrêter)
Je me réveille,VAI;1;s;Présent,N'toki,Verbe,"Laurent, 1884, p.102",,
Je réveille quelqu’un,VTA;1;s;Présent,N'tokim8,Verbe,"Laurent, 1884, p.167",,
Je viens de quelquepart.,VAI;1;s;Présent,N'wadosa,Verbe,"Laurent, 1884, p.96",,
Je possède quelquechose (A).,VTA;1;s;Présent,N'waj8n8,Verbe,"Laurent, 1884, p.62",,Posséder quelquechose (A)
Je possède quelquechose (I).,VTI;1;s;Présent,N'waj8nem,Verbe,"Laurent, 1884, p.62",,Posséder quelquechose (I)
J’embrasse quelquechose (I),VTI,N'wajado,Verbe,"Laurent, 1884, p.192",,
J’embrasse quelqu’un (A),VTA,N'wajam8,Verbe,"Laurent, 1884, p.192",,
Je mange à ma faim,VAI,N'wamipi,Verbe,"Day, 1994, p.437",,
Je suis fou,VAI,N'wan8damina,Verbe,"Nolett-Ille,???, p.105",,
J'oublie quelquechose (I),VTIi,N'wanaldam,Verbe,"Laurent, 1884, p.94",,
J'oublie quelquechose (I) de défini,VTId,N'wanaldamen,Verbe,"Laurent, 1884, p.94",,
J’oublie quelqu’un ou quelquechose (A).,VTA;1;s;Présent,N'wanalm8,Verbe,"Laurent, 1884, p.194",,
Je rencontre quelqu'un (A),VTA;1;s;Présent,N'wanaskaw8,Verbe,"Nolett-Ille, 1996, p.42",,
Je perds quelquechose (I) de défini.,VTI,N'waniado,Verbe,"Laurent, 1884, p.71",,
Je perds quelquechose (I) de défini,VTId,N'waniadon,Verbe,"Laurent, 1884, p.93",,
Je perds quelqu'un ou quelquechose (A),VTI,N'wanial8,Verbe,"Laurent, 1884, p.191",,
Je perds quelqu'un ou quelquechose (A) de défini,VTId,N'wanial8,Verbe,,,
"Je préviens, j'informe, je sonne l'alarme.",VAI;1;s;présent,N'waw8doka,Verbe,"Day, 1994, p.485",,
"Je préviens quelqu'un, j'informe quelqu'un.",VAI;1;s;présent,N'waw8dokawa,Verbe,"Day, 1994, p.485",,
"Je préviens, j'informe.",VAI;1;s;présent,N'waw8jemi,Verbe,"Day, 1994, p.485",,
Je découvre quelqu’un ou quelquechose (A),VTA;1;s;Présent,N'wawal8,Verbe,"Day, 1994, p.481",,
Je connais,VAI;1;s;Présent,N'wawalda,Verbe,"Day, 1994, p.481",,
Je connais quelquechose (I).,VTI;1;s;Présent,N'wawaldam,Verbe,"Nolett-Ille, 1996, p.44",,
Je connais quelqu’un ou quelquechose (A).,VTA;1;s;Présent,N'wawalm8,Verbe,"Day, 1994, p.481",,
Je le connais,VTA,N'wawinaw8,Verbe,"Laurent, 1884, p.94",,
Je connais quelqu’un ou quelquechose (A).,VTA;1;s;Présent,N'wawinaw8,Verbe,"Day, 1994, p.484",,
